place_id,relationships
f9a1fd95-4c6d-43a6-bb31-4ee8d5a44a8b,"""\""[]\"""""
6ff650ca-94ed-4119-8123-b113f9cc9957,"""\""[]\"""""
d0000ec2-2343-415b-ba58-6c14d0b8007e,"""\""[]\"""""
42e9fa7c-a981-44f9-943c-bf39a8c6ce8d,"""\""[]\"""""
34e7351d-715d-4b20-a5d6-3c0bd717eb1d,"""\""[]\"""""
0ad32768-514b-410f-9d5a-40ebb0c3373c,"""\""[]\"""""
0b050655-48da-4be7-b5de-7a3ee7370b9e,"""\""[]\"""""
bec14a70-8391-4cfe-8307-dcf3b80dbf9e,"""\""[]\"""""
28d600c4-4b10-4aaf-8d7b-55c7336e6e97,"""\""[]\"""""
f4030ef1-ecd4-49ab-986c-3bf32b1e87d6,"""\""[]\"""""
5437a64f-159e-43ba-a2c5-107609cfbb16,"""\""[{\\\""ended\\\"": true, \\\""type\\\"": \\\""premiere\\\"", \\\""attribute-values\\\"": {}, \\\""attributes\\\"": [], \\\""attribute-ids\\\"": {}, \\\""target-credit\\\"": \\\""\\\"", \\\""direction\\\"": \\\""forward\\\"", \\\""begin\\\"": \\\""1940-11-07\\\"", \\\""type-id\\\"": \\\""a4d2a7cb-365b-4b90-b52f-29469edf8ac0\\\"", \\\""target-type\\\"": \\\""work\\\"", \\\""work\\\"": {\\\""id\\\"": \\\""5acb0fcc-1c85-4b0e-9d1f-eb0809593056\\\"", \\\""disambiguation\\\"": \\\""\\\"", \\\""language\\\"": \\\""zxx\\\"", \\\""iswcs\\\"": [], \\\""languages\\\"": [\\\""zxx\\\""], \\\""type-id\\\"": \\\""174314aa-0aa4-30cf-96a6-50b281d8d208\\\"", \\\""type\\\"": \\\""Symphony\\\"", \\\""title\\\"": \\\""Symphony in C major\\\"", \\\""attributes\\\"": []}, \\\""source-credit\\\"": \\\""\\\"", \\\""end\\\"": \\\""1940-11-07\\\""}]\"""""
449bf4e9-1ade-462f-b403-3d8218880984,"""\""[]\"""""
ff7113a1-d749-466d-8302-8cfc4b0a3d10,"""\""[]\"""""
45c898f3-e793-453a-8322-d7f461d1c4d1,"""\""[]\"""""
9d1f997b-24c1-42bd-a596-419f438bb127,"""\""[]\"""""
31962ed7-de17-4d43-800e-2f14d41fd45e,"""\""[]\"""""
