,place_id,arranged at,engineered at,recorded at,mixed at,edited at,remixed at,produced at,video shot at
0,f9a1fd95-4c6d-43a6-bb31-4ee8d5a44a8b,0,0,0,0,0,0,0,0
1,6ff650ca-94ed-4119-8123-b113f9cc9957,0,0,0,0,0,0,0,0
2,d0000ec2-2343-415b-ba58-6c14d0b8007e,0,0,0,0,0,0,0,0
3,42e9fa7c-a981-44f9-943c-bf39a8c6ce8d,0,0,0,0,0,0,0,0
4,34e7351d-715d-4b20-a5d6-3c0bd717eb1d,0,0,0,0,0,0,0,0
5,0ad32768-514b-410f-9d5a-40ebb0c3373c,0,0,0,0,0,0,0,0
6,0b050655-48da-4be7-b5de-7a3ee7370b9e,0,0,0,0,0,0,0,0
7,bec14a70-8391-4cfe-8307-dcf3b80dbf9e,0,0,0,0,0,0,0,0
8,28d600c4-4b10-4aaf-8d7b-55c7336e6e97,0,0,0,0,0,0,0,0
9,f4030ef1-ecd4-49ab-986c-3bf32b1e87d6,0,0,0,0,0,0,0,0
10,5437a64f-159e-43ba-a2c5-107609cfbb16,0,0,0,0,0,0,0,0
11,449bf4e9-1ade-462f-b403-3d8218880984,0,0,0,0,0,0,0,0
12,ff7113a1-d749-466d-8302-8cfc4b0a3d10,0,0,0,0,0,0,0,0
13,45c898f3-e793-453a-8322-d7f461d1c4d1,0,0,0,0,0,0,0,0
14,9d1f997b-24c1-42bd-a596-419f438bb127,0,0,0,0,0,0,0,0
15,31962ed7-de17-4d43-800e-2f14d41fd45e,0,0,0,0,0,0,0,0
16,5c2b97c4-e2a6-486a-aa1c-7e5bb72292cc,0,0,0,0,0,0,0,0
17,eb1c665e-e6bf-4dbd-81f1-9c227d3ca990,0,0,0,0,0,0,0,0
18,0ab6207f-7ea4-462f-80ea-2d775a7f47d5,0,0,0,0,0,0,0,0
19,d7ec3dfb-91dc-46be-a856-a9f3efe0e883,0,0,0,0,0,0,0,0
20,39bcc992-ffd6-47e5-a166-90e6ddaf5bbd,0,0,0,0,0,0,0,0
21,3f742f67-c436-449a-8caa-3da41448c37c,0,0,0,0,0,0,0,0
22,c68bc0f3-6f61-4a0c-b6f3-24998a43709f,0,0,0,0,0,0,0,0
23,aaae577e-5954-4d61-8367-4f49b368b6f5,0,0,0,0,0,0,0,0
24,82403c7e-9eb1-4aac-8928-c953066e4cf9,0,0,0,0,0,0,0,0
25,3ea1c353-8867-4142-887b-78cd1e9830ac,0,0,0,0,0,0,0,0
26,dadbc765-e266-4745-9e8c-b7ed60e554f9,0,0,0,0,0,0,0,0
27,b0f7909c-4d66-448d-a47f-388e1bff7a47,0,0,0,0,0,0,0,0
28,8f516af4-8c48-4306-a3b1-b4d7e09a92bb,0,0,0,0,0,0,0,0
29,7b84c56d-65aa-4bb1-990c-e6f977669a5b,0,0,0,0,0,0,0,0
30,b9c825ca-260e-4e80-8649-94e3a519e851,0,0,0,0,0,0,0,0
31,e61f747d-1328-4b89-9925-2753b4541e22,0,0,0,0,0,0,0,0
32,2ca08e2d-c869-4355-95bb-bf3131a54550,0,0,0,0,0,0,0,0
33,3172a3c6-3e99-4c04-958e-f1b21967bb8c,0,0,0,0,0,0,0,0
34,3755c1ad-eadb-4f53-b9a9-392e9e47be8e,0,0,0,0,0,0,0,0
35,a0bf2ee6-18c7-4d10-b7db-779aa99227f5,0,0,0,0,0,0,0,0
36,e14a86ad-8593-4548-9754-d28c17e58b61,0,0,0,0,0,0,0,0
37,11853b92-ef85-42c5-be70-1f450436d321,0,0,0,0,0,0,0,0
38,94e16ac5-97f5-4df5-a68c-643199f632b6,0,0,0,0,0,0,0,0
39,39e8cd94-f136-43ce-8001-8625b4922b99,0,0,0,0,0,0,0,0
40,e5cde56b-8cb1-4a25-9fd8-b90a8b6b2e7b,0,0,0,0,0,0,0,0
41,88b4f126-aba3-4f25-81d3-b9250296f16c,0,0,0,0,0,0,0,0
42,28c263e0-f58a-42a0-a24c-6ee5209180e5,0,0,0,0,0,0,0,0
43,dee0f3f1-7265-44b8-b4c5-32c3d096da1c,0,0,0,0,0,0,0,0
44,ca7c93a3-35ce-475c-aae8-4ee8069f84ad,0,0,0,0,0,0,0,0
45,c1c393e3-1573-4d8e-a312-b7777e604b00,0,0,0,0,0,0,0,0
46,ffb91488-13c8-4243-b93d-1458b23bd136,0,0,0,0,0,0,0,0
47,4d0a4b7a-d13b-4edd-a9a6-8044204fe178,0,0,0,0,0,0,0,0
48,284109bd-734e-4bc0-8dbd-2126a694651f,0,0,0,0,0,0,0,0
49,d28b611e-ba25-4d3a-a011-dc11a5e50b58,0,0,0,0,0,0,0,0
50,ef43049c-2400-4fda-af73-a2f5ccee1578,0,0,0,0,0,0,0,0
51,e8ef3970-3189-46bd-b9cc-51e693b91356,0,0,0,0,0,0,0,0
52,e68d98cd-e69d-4445-9992-54f1b9c9dd1f,0,0,0,0,0,0,0,0
53,c0b3bb35-03eb-4609-96dc-ea5fadbdd14c,0,0,0,0,0,0,0,0
54,66daff8e-3ce2-4faa-a1b8-cc1fe0ef885d,0,0,0,0,0,0,0,0
55,fa8abb2c-4ca0-4838-b374-9c3c88921c77,0,0,0,0,0,0,0,0
56,478c11fe-b441-4cb8-913e-c561dee7ce93,0,0,0,0,0,0,0,0
57,0018316d-f644-4674-a83a-71cf61261b2d,0,0,0,0,0,0,0,0
58,1e5ec994-f29c-455f-8be8-a1295a7135de,0,0,0,0,0,0,0,0
59,b373028b-0c65-4fc3-abe1-e46df937e758,0,0,0,0,0,0,0,0
60,2c5f3ae7-d718-49f9-a0a2-f69ca962a18a,0,0,0,0,0,0,0,0
61,b40a4f68-5d3f-4b0b-a1fa-bae563079ba2,0,0,0,0,0,0,0,0
62,9a75d0a6-1ce4-4046-9c70-6efa96b99b30,0,0,0,0,0,0,0,0
63,9442b1ce-3fe3-445d-bb3d-8ced18ec20eb,0,0,0,0,0,0,0,0
64,e7710ecf-b548-49c7-8b8b-4912919f3ae1,0,0,0,0,0,0,0,0
65,8846d4c1-b5d5-4827-ac70-e9a355648a1f,0,0,0,0,0,0,0,0
66,1db907f6-7904-4f34-9fd4-6c36c422f706,0,0,0,0,0,0,0,0
67,d514ab47-2dae-432e-8712-01d14f47ecca,0,0,0,0,0,0,0,0
68,750b0424-7feb-4ff0-b68c-b12e3f4b31e4,0,0,0,0,0,0,0,0
69,6f1e52af-5f6d-487c-ac06-b1be32c9a8c9,0,0,0,0,0,0,0,0
70,a01df26a-2df0-4737-a3ac-eb68ad06ad58,0,0,0,0,0,0,0,0
71,1aa38521-2aa9-4630-a14f-e5113887a356,0,0,0,0,0,0,0,0
72,a4dfaac6-4bb5-4a6f-ab3a-21068f3a4514,0,0,0,0,0,0,0,0
73,eedcd42a-c06f-4106-a79f-291774b76b3e,0,0,0,0,0,0,0,0
74,7c01633c-a21e-413f-80f3-7bcd2627bb50,0,0,0,0,0,0,0,0
75,dd951fd7-18f3-41cd-a83b-33977ac83abd,0,0,0,0,0,0,0,0
76,2d10278c-8245-470f-b398-dceb7a0558d9,0,0,0,0,0,0,0,0
77,4f0bf52c-468e-4165-940d-79368d8fc791,0,0,0,0,0,0,0,0
78,29621ec9-667f-4521-b0bd-dbc24f8efab1,0,0,0,0,0,0,0,0
79,fe5a39f5-3b70-41bc-81db-f9cfa040a2e7,0,0,0,0,0,0,0,0
80,349430fa-909c-45b2-b891-a8668c5fa30a,0,0,0,0,0,0,0,0
81,125b77b6-6b55-44de-86b2-5b0a5d2999fa,0,0,0,0,0,0,0,0
82,f9b70129-31e4-4464-a31c-108a2990683c,0,0,0,0,0,0,0,0
83,cf1b776e-8394-4636-8804-98e25c176f64,0,0,0,0,0,0,0,0
84,b8113131-b7ea-4af4-b7ec-d2c18926edd9,0,0,0,0,0,0,0,0
