id,type,type-id,score,name,address,coordinates,area,life-span,disambiguation,aliases
f9a1fd95-4c6d-43a6-bb31-4ee8d5a44a8b,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Columbia (CBS) Studio ‘B’,"49 East 52nd Street, Manhattan, New York City","{'latitude': '40.759164', 'longitude': '-73.974123'}","{'id': '74e50e58-5deb-4b99-93a2-decbb365c07f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'New York', 'sort-name': 'New York', 'life-span': {'ended': None}}",{'ended': None},,
6ff650ca-94ed-4119-8123-b113f9cc9957,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Headroom Studios,"2026 E Hagert St, Philadelphia, PA 19125",,"{'id': '0eeb01c2-6e31-46ad-96b8-319749f731d2', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Philadelphia', 'sort-name': 'Philadelphia', 'life-span': {'ended': None}}","{'begin': '2008', 'ended': None}","studio, Philadelphia, PA",
d0000ec2-2343-415b-ba58-6c14d0b8007e,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,The Left Foot,"37 Throckmorton Street, Freehold, NJ, USA",,"{'id': '42f86940-0f68-4ce0-8876-d070d424d91c', 'type': 'Municipality', 'type-id': '17246454-5ac4-36a1-b81a-4753eb2dab20', 'name': 'Freehold Township', 'sort-name': 'Freehold Township', 'life-span': {'ended': None}}","{'begin': '1967-09-16', 'end': '1968-05', 'ended': True}",,"[{'sort-name': 'The Left Foot Teen Club', 'type-id': '0a438b9c-1850-32de-b4bb-7f58f5048ea3', 'name': 'The Left Foot Teen Club', 'locale': None, 'type': 'Search hint', 'primary': None, 'begin-date': None, 'end-date': None}]"
42e9fa7c-a981-44f9-943c-bf39a8c6ce8d,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,New Theatre Oxford,"George St, Oxford OX1 2AG","{'latitude': '51.753951', 'longitude': '-1.260011'}","{'id': '33587495-c775-4483-b819-931c4cf438cd', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Oxford', 'sort-name': 'Oxford', 'life-span': {'ended': None}}",{'ended': None},,
34e7351d-715d-4b20-a5d6-3c0bd717eb1d,Religious building,a120ca4a-69e9-3c0e-bc09-21cae26eb621,100,Santuario della Beata Vergine di Ariadello,,"{'latitude': '45.316087', 'longitude': '9.865165'}","{'id': '686e7b1e-613f-419c-bcc1-1e84df36586a', 'type': 'Municipality', 'type-id': '17246454-5ac4-36a1-b81a-4753eb2dab20', 'name': 'Soresina', 'sort-name': 'Soresina', 'life-span': {'ended': None}}","{'begin': '1666', 'ended': None}",,
0ad32768-514b-410f-9d5a-40ebb0c3373c,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,ROKU-st,〒106-0032 東京都港区六本木 3-4-24 六本木足立ビルB1F,"{'latitude': '35.664122', 'longitude': '139.729426'}","{'id': 'd9fd27ac-b36f-492b-b598-039ee0dd08c1', 'type': 'District', 'type-id': '84039871-5e47-38ca-a66a-45e512c8290f', 'name': 'Roppongi', 'sort-name': 'Roppongi', 'life-span': {'ended': None}}",{'ended': None},,"[{'sort-name': 'Roku Studio', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Roku Studio', 'locale': 'en', 'type': 'Place name', 'primary': None, 'begin-date': None, 'end-date': None}]"
0b050655-48da-4be7-b5de-7a3ee7370b9e,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,Rätschenmühle,"Schlachthausstraße 22, 73312 Geislingen/Steige","{'latitude': '48.627518', 'longitude': '9.825691'}","{'id': '4518c94c-b6ee-40d0-b4b6-fc27b06fa011', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Geislingen an der Steige', 'sort-name': 'Geislingen an der Steige', 'life-span': {'ended': None}}",{'ended': None},,
bec14a70-8391-4cfe-8307-dcf3b80dbf9e,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Grey Room,,,"{'id': '8a754a16-0027-3a29-b6d7-2b40ea0481ed', 'type': 'Country', 'type-id': '06dd0ae4-8c74-30bb-b43d-95dcedf961de', 'name': 'United Kingdom', 'sort-name': 'United Kingdom', 'life-span': {'ended': None}}",{'ended': None},,
28d600c4-4b10-4aaf-8d7b-55c7336e6e97,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,OTB,,,,{'ended': None},,
f4030ef1-ecd4-49ab-986c-3bf32b1e87d6,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,System Soundbar,"117 Peter St, Toronto, ON M5V","{'latitude': '43.64817', 'longitude': '-79.393009'}","{'id': '74b24e62-d2fe-42d2-9d96-31f2da756c77', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Toronto', 'sort-name': 'Toronto', 'life-span': {'ended': None}}",{'ended': None},,
5437a64f-159e-43ba-a2c5-107609cfbb16,Venue,cd92781a-a73f-30e8-a430-55d7521338db,100,Symphony Center: Orchestra Hall,"220 S Michigan Ave, Chicago, IL 60604, United States","{'latitude': '41.879167', 'longitude': '-87.625'}","{'id': '29a709d8-0320-493e-8d0c-f2c386662b7f', 'type': 'City', 'type-id': '6fd8f29a-3d0a-32fc-980d-ea697b69da78', 'name': 'Chicago', 'sort-name': 'Chicago', 'life-span': {'ended': None}}","{'begin': '1904', 'ended': None}",,"[{'sort-name': 'Orchestra Hall', 'type-id': 'fb68f9a2-622c-319b-83b0-bbff4127cdc5', 'name': 'Orchestra Hall', 'locale': 'en', 'type': 'Place name', 'primary': None, 'begin-date': None, 'end-date': None}]"
449bf4e9-1ade-462f-b403-3d8218880984,Studio,05fa6a09-ff92-3d34-bdbb-5141d3c24f38,100,Quest Studios,"71 Windmill Road, Luton, LU1 3XL, UK",,"{'id': 'fce4afff-8d49-4f1f-977a-10edbe839331', 'type': 'Subdivision', 'type-id': 'fd3d44c5-80a1-3842-9745-2c4972d35afa', 'name': 'Luton', 'sort-name': 'Luton', 'life-span': {'ended': None}}",{'ended': True},,
